"fg","year","bin_midpoint","bin_min","bin_max","mean_n_individuals","mean","sd","q025","q25","median","q75","q975","ci_min","ci_max"
"all",1995,2.76645071037962,2.37110374653142,3.16179767422781,18042,0.054570953722104,2.10331682782003,0.0154335202075798,0.0292269385053035,0.056058433588993,0.0982365617315541,0.204946081740676,0.0539733264248033,0.055175198332254
"all",1995,3.6889813171354,3.16179767422781,4.21616496004298,15124,0.105415468832493,2.26222245231087,0.0247578635670816,0.0551850127403909,0.111249829758538,0.200882993458954,0.441501242012079,0.104040103383146,0.106809016021936
"all",1995,4.91914896842916,4.21616496004298,5.62213297681534,11061,0.206538990403749,2.37397902118926,0.0411108222636907,0.108045740486376,0.226437565918518,0.409463657647252,0.882259146374213,0.203210317723856,0.209922188178303
"all",1995,6.55954164397562,5.62213297681534,7.4969503111359,7891,0.394292005896507,2.424209982882,0.0715407312516905,0.212509953393851,0.427639374671976,0.782631524091018,1.75105032770373,0.386589886620881,0.402147576266921
"all",1995,8.74695742194416,7.4969503111359,9.99696453275241,6369,0.706864756643392,2.53994153538593,0.11633719997176,0.366875338991971,0.778734706330118,1.44133516876035,3.46871377394421,0.690775221211161,0.723329049511149
"all",1995,11.6638125487886,9.99696453275241,13.3306605648247,5027,1.28976399317916,2.7605738467019,0.177984382822701,0.646122353807703,1.42858230895494,2.77175193938478,6.85464425444821,1.25404579938178,1.32649952571231
"all",1995,15.5533537675595,13.3306605648247,17.7760469702942,2907,2.6884856617424,2.9142795383357,0.280789420210136,1.3231867456717,3.05650008518515,6.17418611232898,14.3863792136721,2.5859563657822,2.79508009069138
"all",1995,20.7399435139226,17.7760469702942,23.703840057551,2157,5.46185289001111,2.99938678648406,0.469135142483428,2.85448238654685,6.59712541396876,12.2352511434653,29.6284857457337,5.21445277262588,5.72099092520884
"all",1995,27.6561096332728,23.703840057551,31.6083792089945,1609,10.0694481685604,2.97638095653829,0.861018928175744,5.21877103367836,11.8071476594707,22.8818854452572,54.7003811041451,9.54685584340215,10.620647057261
"all",1995,36.8786153893889,31.6083792089945,42.1488515697832,1145,18.8688146924714,2.93956568756843,1.55596346537856,10.127900861975,22.3797330628514,41.9066896513684,105.174198048808,17.7264026237958,20.0848517014326
"all",1995,49.176557768712,42.1488515697832,56.2042639676407,794,28.9827720644134,2.79557448679676,2.97099481187376,15.2463833159488,35.5722728287697,62.1549810840097,137.113055377588,26.9826716153737,31.1311306942319
"all",1995,65.5755051659368,56.2042639676407,74.9467463642328,472,42.7130043324973,2.92623880436294,3.13474350733507,23.8419356860219,51.5651576977856,91.6183628945958,222.403035093832,38.7696736485252,47.0574180130436
"all",1995,87.4430231166713,74.9467463642328,99.9392998691097,212,68.3826728748558,2.94877032261388,6.57571071854509,32.4297979422209,77.1009520973124,145.651786736955,445.130732349727,59.1190288560348,79.097881680311
"all",1995,116.602720366912,99.9392998691097,133.266140864714,72,99.6411236235491,2.7202952039244,10.096686388526,62.0837596702778,113.876846376865,204.042615290707,592.894200266632,79.0768349958732,125.553248526974
"all",1995,155.486325979643,133.266140864714,177.706511094572,23,183.229003271048,2.2809332998216,49.2999047721019,103.157186974324,179.782562120108,299.654555861597,818.928611551929,130.809866367458,256.653940348752
"all",1995,207.336479719973,177.706511094572,236.966448345373,11,237.704661640841,2.5454023353921,64.9634854077657,99.5635797778507,326.185789793277,477.198753965185,927.250880877005,136.853331188265,412.876366802184
"all",1995,276.47714711774,236.966448345373,315.987845890107,3,648.580588755471,1.25129257770438,554.034192988443,570.951419363672,589.748337558371,713.797455279595,825.441661228696,503.261885022395,835.860597890647
"all",2000,1.16673541359231,1,1.33347082718462,21612,0.00711720813868926,1.54196189462336,0.00396724427402435,0.00502714580308688,0.00641794073830231,0.010024474854146,0.0169287734751553,0.00705453240547399,0.00718044071214684
